link,country,amount,note,year,retrieved
/the-world-factbook/countries/papua-new-guinea,Papua New Guinea,3700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/papua-new-guinea,Papua New Guinea,3900.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/paraguay,Paraguay,13700.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/paraguay,Paraguay,13300.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/paraguay,Paraguay,13600.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/peru,Peru,12500.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/peru,Peru,11200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/peru,Peru,12700.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/philippines,Philippines,8100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/philippines,Philippines,7800.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/philippines,Philippines,8700.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/poland,Poland,34900.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/poland,Poland,32500.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/poland,Poland,33200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/portugal,Portugal,33700.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/portugal,Portugal,32000.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/portugal,Portugal,34900.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/puerto-rico,Puerto Rico,32600.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/puerto-rico,Puerto Rico,32400.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/puerto-rico,Puerto Rico,34800.0,data are in 2017 dollars,2019,2023-03-31
